id,epic,title,persona,acao,beneficio,criterio,priority,points
US-401,E4,Cadastro de artigos de ajuda,gestora,cadastrar artigos de ajuda,alimentar o agente de IA,Artigo salvo gera embedding automaticamente via job assíncrono,must,5
US-402,E4,Importação em lote da base,gestora,importar uma base de conhecimento existente (CSV/Markdown),não recadastrar tudo manualmente,Importação em lote processa N artigos e reporta falhas individualmente,could,5
US-403,E4,Relatório de artigos não usados,gestora,ver quais artigos nunca são usados pelo agente,revisar conteúdo desatualizado,Relatório de uso de artigos por período,could,3
US-501,E5,Assinatura de plano,gestora,assinar um plano com cartão de crédito,ativar a conta,Integração com Stripe Checkout cria assinatura e libera o tenant,must,5
US-502,E5,Bloqueio por limite de plano,gestora,ser bloqueada de criar novos atendentes ao atingir o limite do plano,respeitar o contrato,Tentativa acima do limite retorna erro claro com sugestão de upgrade,should,3
US-503,E5,Histórico de faturas,gestora,ver minha fatura e histórico de pagamentos,controle financeiro,Listagem paginada de faturas via Stripe API,should,3
US-601,E6,Dashboard de métricas,gestora,um dashboard com métricas-chave,acompanhar a operação,"Cards de tempo médio de resposta, percentual de auto-resolução, tickets abertos",must,5
US-602,E6,Busca e filtro de tickets,atendente,filtrar e buscar tickets,encontrar casos específicos rápido,"Busca por status, prioridade, cliente, com resposta abaixo de 300ms em base de teste",should,3
US-701,E7,Push notification de escalonamento,atendente,receber push notification de ticket escalado,responder mesmo fora do computador,Notificação chega em até 10s após escalonamento,must,8
US-702,E7,Resposta via mobile,atendente,responder um ticket pelo celular,não depender do desktop,Funcionalidade de resposta com paridade mínima do painel web,must,8
US-801,E8,Métricas de latência e erro,desenvolvedor,métricas de latência e erro de cada serviço,identificar gargalos,Dashboards Grafana com p50/p95/p99 por serviço,must,5
US-802,E8,Logs centralizados e correlacionáveis,desenvolvedor,logs centralizados e correlacionáveis por request,depurar incidentes,Trace ID propagado entre serviços e visível no Loki/Grafana,should,5
US-803,E8,Alertas automáticos,desenvolvedor,alertas automáticos quando a taxa de erro passar de um limiar,reagir antes do cliente notar,Alerta disparado via webhook em até 1 min após o limiar ser ultrapassado,could,3
US-901,E9,Isolamento de dados entre tenants,gestora,garantir que dados de um tenant nunca vazem para outro,confiança do cliente,Testes automatizados de isolamento (row-level security) cobrindo todas as rotas sensíveis,must,8
US-902,E9,Exportação e exclusão de dados (LGPD),gestora,exportar e excluir os dados da minha empresa,conformidade com LGPD,Exportação completa em JSON e exclusão lógica/física conforme política,should,5
US-903,E9,Rate limiting por tenant e IP,desenvolvedor,rate limiting por tenant e por IP,mitigar abuso e ataques de força bruta,Requisições acima do limite retornam 429 com header de retry,must,3
US-904,E9,Log de auditoria administrativo,gestora,um log de auditoria de ações administrativas,rastrear mudanças sensíveis,Toda ação de admin é registrada de forma imutável,should,3
US-1001,E10,Pipeline de CI,desenvolvedor,pipeline de CI que rode testes a cada push,evitar regressões,Pipeline roda lint mais testes mais build em menos de 10 min,must,5
US-1002,E10,Deploy automatizado em staging,desenvolvedor,deploy automatizado para ambiente de staging,validar antes de produção,Merge na branch develop dispara deploy automático em staging,should,5
US-1003,E10,Infraestrutura como código,desenvolvedor,infraestrutura como código,recriar o ambiente de forma reprodutível,terraform apply provisiona toda a infra base sem passos manuais,could,8
